job_id,energy_qpu_kwh,energy_cpu_kwh,energy_total_kwh,cost_energy_total,phi_qpu,phi_cpu,qpu_time_s,cpu_time_s,qpu_wait_s,cpu_wait_s,wait_total_s,qpu_turn_s,cpu_turn_s,turn_total_s,job_turnaround_s
0,0.0,0.0029,0.0029,0.0005,0.0,1.0,0.0,3.9393,0.0,0.0,0.0,0.0,3.9393000000000002,3.9393000000000002,3.9425
1,0.0,0.0031,0.0031,0.0006,0.0,1.0,0.0,3.9216,0.0,0.0,0.0,0.0,3.9216,3.9216,3.9244
2,0.0,0.003,0.003,0.0005,0.0,1.0,0.0,3.814,0.0,0.0,0.0,0.0,3.814,3.814,3.8186
3,0.0,0.0024,0.0024,0.0004,0.0,1.0,0.0,3.6669,0.0,0.0,0.0,0.0,3.6669,3.6669,3.6625
4,0.0,0.0023,0.0023,0.0004,0.0,1.0,0.0,3.6285,0.0,0.0,0.0,0.0,3.6285,3.6285,3.6288
5,0.0,0.0026,0.0026,0.0005,0.0,1.0,0.0,3.9376,0.0,0.0,0.0,0.0,3.9375999999999998,3.9375999999999998,3.9344
6,0.0,0.0033,0.0033,0.0006,0.0,1.0,0.0,3.5292,0.0,0.0,0.0,0.0,3.5292000000000003,3.5292000000000003,3.5338
7,0.0,0.0035,0.0035,0.0006,0.0,1.0,0.0,3.6691,0.0,0.0,0.0,0.0,3.6691000000000003,3.6691000000000003,3.6679
8,0.0,0.0021,0.0021,0.0004,0.0,1.0,0.0,2.9661,0.0,0.0,0.0,0.0,2.9660999999999995,2.9660999999999995,2.9621
9,0.0,0.0029,0.0029,0.0005,0.0,1.0,0.0,3.3831,0.0,0.0,0.0,0.0,3.3830999999999998,3.3830999999999998,3.3827
10,0.0,0.0025,0.0025,0.0004,0.0,1.0,0.0,4.273,0.0,0.0,0.0,0.0,4.273000000000001,4.273000000000001,4.2707
