job_id,num_qubits,layers,rotations,entanglement,param_count,num_shots,depth,req_iterations,cpu_units,mem_bw,priority,arrival_time
1,12,5,"rx, rz, ry",circular,216,2200,78,7,6,5,2,0
2,18,4,ry,circular,90,3600,77,6,4,6,2,31.55066038
3,12,4,rx,circular,60,2800,53,6,7,4,2,73.15703904
4,18,5,ry,circular,108,1800,96,5,6,7,2,163.7613725
5,13,7,ry,circular,104,4700,99,7,4,6,2,225.1691975
6,17,5,"ry, rx",circular,204,4700,97,9,6,7,2,328.4854584
7,22,3,rz,circular,88,2900,70,8,4,4,2,358.9582355
8,11,7,"ry, rx",circular,176,3300,93,9,5,4,2,362.6405164
9,17,5,ry,circular,102,3600,91,5,6,7,2,371.3858486
10,13,7,rz,circular,104,3600,99,6,5,5,2,375.7200936
11,10,7,ry,circular,80,1400,78,8,5,5,2,423.0300294
12,12,6,"rz, rx, ry",circular,252,1500,93,8,7,5,2,498.6710017
13,11,5,rz,circular,66,2500,61,6,6,5,2,501.8988159
14,10,8,"ry, rx",circular,180,4800,98,5,5,6,2,510.8863438
15,14,6,rz,circular,98,2400,91,6,5,4,2,515.4180832
16,10,6,"rz, ry",circular,140,4200,74,7,7,7,2,555.8882242
17,12,5,"rx, rz",circular,144,3300,72,7,6,7,2,566.0190793
18,13,6,"rx, rz, ry",circular,273,2700,99,4,5,5,2,569.2684301
19,16,5,rz,circular,96,2400,86,8,7,6,2,589.6747089
20,13,7,rz,circular,104,4400,99,7,6,4,2,606.3594922
21,12,6,"rz, ry",circular,168,4900,86,4,7,5,2,612.1901165
22,11,5,"rx, ry, rz",circular,198,3100,73,4,5,4,2,632.6942959
23,12,6,"ry, rx",circular,168,4000,86,5,6,4,2,654.6365244
24,14,6,rz,circular,98,2900,91,8,7,7,2,667.46308
25,15,4,"ry, rx, rz",circular,225,4000,75,9,5,6,2,766.7601992
26,13,6,rz,circular,91,2400,85,7,5,5,2,770.7533929
27,12,6,"ry, rz, rx",circular,252,3500,93,6,4,5,2,787.8550567
28,17,5,"ry, rx",circular,204,1300,97,4,4,6,2,826.4787783
29,12,6,rz,circular,84,4600,79,8,4,5,2,868.2312554
30,12,4,"ry, rz",circular,120,2800,58,7,6,5,2,885.6975782
31,15,6,rz,circular,105,4100,97,9,4,6,2,904.8021969
32,12,6,"rz, rx, ry",circular,252,2900,93,5,6,7,2,974.4739385
33,14,5,rx,circular,84,2300,76,7,7,5,2,985.2279875
34,11,5,"rx, ry",circular,132,1300,67,9,6,7,2,993.7556379
35,12,6,rz,circular,84,2400,79,5,4,7,2,995.1307337
36,15,6,rz,circular,105,2800,97,9,5,4,2,1013.533299
37,21,4,"ry, rx, rz",circular,315,2900,99,9,5,5,2,1049.960205
38,11,6,"rx, ry, rz",circular,231,4900,87,7,5,6,2,1050.178338
39,11,7,ry,circular,88,4600,85,9,5,4,2,1051.060156
40,10,3,"rz, ry",circular,80,2700,38,6,7,6,2,1053.018938
41,21,3,"rz, rx, ry",circular,252,4400,75,7,7,5,2,1058.726421
42,16,5,"ry, rz",circular,192,3200,92,8,7,7,2,1067.743262
43,12,5,rz,circular,72,2200,66,7,7,6,2,1135.902671
44,10,7,"rz, rx",circular,160,4600,86,8,6,7,2,1187.169264
45,17,5,"ry, rx",circular,204,2500,97,5,4,6,2,1194.206678
46,13,6,"rz, ry, rx",circular,273,2000,99,7,6,4,2,1214.900602
47,13,5,"rz, ry, rx",circular,234,5000,83,9,7,4,2,1249.976163
48,22,4,"rz, rx",circular,220,4500,98,5,6,5,2,1335.432391
49,14,5,"rx, ry, rz",circular,252,4000,88,5,5,7,2,1345.091461
50,11,7,"rx, rz",circular,176,4400,93,7,6,6,2,1359.833058
51,13,6,ry,circular,91,4300,85,9,7,5,2,1429.405649
52,14,4,"rz, ry",circular,140,4000,66,5,7,5,2,1474.167798
53,10,5,rz,circular,60,2900,56,5,4,7,2,1503.725668
54,10,5,"rx, ry",circular,120,4600,62,6,4,6,2,1523.902778
55,13,5,ry,circular,78,4300,71,9,4,6,2,1535.031868
56,13,6,ry,circular,91,4100,85,4,6,4,2,1613.517319
57,14,6,"rz, rx",circular,196,3100,98,7,6,7,2,1631.151397
58,15,4,"ry, rx, rz",circular,225,2200,75,4,5,7,2,1636.899008
59,15,5,"ry, rz, rx",circular,270,4000,93,9,4,4,2,1691.754232
60,13,4,rx,circular,65,1200,57,6,6,6,2,1706.336742
61,12,5,ry,circular,72,1600,66,4,7,7,2,1729.601331
62,10,8,ry,circular,90,4100,89,6,7,6,2,1729.617986
63,13,5,ry,circular,78,3200,71,6,5,7,2,1801.503459
64,13,7,rz,circular,104,4600,99,4,6,6,2,1824.02726
65,10,6,"rz, ry",circular,140,1200,74,8,4,5,2,1829.957354
66,10,7,rz,circular,80,1900,78,6,6,7,2,1859.802979
67,12,6,"rx, rz, ry",circular,252,4800,93,6,5,7,2,1871.167919
68,18,3,"rz, ry, rx",circular,216,2500,66,8,7,6,2,1872.885309
69,10,8,rx,circular,90,1600,89,8,6,6,2,1875.113885
70,11,5,"rz, rx",circular,132,1300,67,4,7,4,2,1893.492106
71,15,4,"rx, ry, rz",circular,225,3800,75,9,6,7,2,1897.252581
72,12,6,"rz, rx",circular,168,2400,86,4,4,4,2,1904.704102
73,19,4,rx,circular,95,1000,81,4,7,7,2,1925.495743
74,11,7,"rx, rz",circular,176,3100,93,4,6,5,2,2082.141576
75,11,8,rx,circular,99,1400,97,5,6,4,2,2114.7162
76,19,4,"rx, ry",circular,190,2500,86,7,5,6,2,2115.661959
77,11,7,"rx, rz",circular,176,4200,93,4,7,7,2,2120.679316
78,11,6,ry,circular,77,2400,73,5,6,7,2,2125.845315
79,12,6,rz,circular,84,4400,79,6,6,5,2,2135.502448
80,18,5,rz,circular,108,4400,96,8,5,7,2,2164.608193
81,12,5,"ry, rx",circular,144,3700,72,7,7,5,2,2191.581557
82,11,6,"ry, rx",circular,154,1400,80,6,7,4,2,2220.966475
83,15,4,"rx, rz",circular,150,2400,70,4,7,5,2,2244.280041
84,16,5,"rx, ry, rz",circular,288,4000,98,5,4,6,2,2269.605111
85,12,5,"rz, rx, ry",circular,216,2400,78,9,7,7,2,2300.230638
86,14,6,ry,circular,98,4400,91,5,7,7,2,2310.809481
87,15,6,ry,circular,105,4400,97,8,6,5,2,2311.621825
88,14,6,ry,circular,98,1800,91,8,5,4,2,2332.988695
89,18,5,rx,circular,108,4000,96,6,5,7,2,2361.43853
90,12,6,"ry, rx, rz",circular,252,4800,93,4,5,7,2,2362.745999
91,11,6,ry,circular,77,4500,73,5,7,5,2,2370.172234
92,11,7,"rx, ry",circular,176,2900,93,7,4,4,2,2432.917066
93,12,5,"rx, rz, ry",circular,216,3300,78,8,6,7,2,2457.571016
94,15,6,rz,circular,105,2400,97,7,5,6,2,2459.49574
95,22,4,rx,circular,110,2300,93,7,5,4,2,2469.472942
96,11,7,rz,circular,88,2000,85,7,4,5,2,2494.262881
97,10,7,rz,circular,80,3600,78,5,4,6,2,2495.167605
98,10,6,"rx, rz, ry",circular,210,3600,81,5,7,5,2,2496.390779
99,15,5,ry,circular,90,4200,81,4,5,7,2,2538.661457
100,14,4,rx,circular,70,3000,61,7,4,6,2,2552.202475
