job_id,num_qubits,layers,rotations,entanglement,param_count,num_shots,depth,req_iterations,cpu_units,mem_bw,priority,arrival_time
1,12,5,"rx, rz, ry",circular,216,2200,78,3,5,8,2,11.283032685101702
2,18,4,ry,circular,90,3600,77,5,3,7,2,14.966338558723214
3,12,4,rx,circular,60,2800,53,3,5,7,2,17.759773699589935
4,18,5,ry,circular,108,1800,96,4,5,7,2,21.92482967861283
5,13,7,ry,circular,104,4700,99,3,4,5,2,33.46341451186738
6,17,5,"ry, rx",circular,204,4700,97,4,5,6,2,35.114070522691264
7,22,3,rz,circular,88,2900,70,2,3,5,2,37.10716558059258
8,11,7,"ry, rx",circular,176,3300,93,5,3,8,2,39.19327127977781
9,17,5,ry,circular,102,3600,91,3,6,6,2,40.01578046874202
10,13,7,rz,circular,104,3600,99,4,7,8,2,43.45546631705411
11,10,7,ry,circular,80,1400,78,4,7,8,2,44.971155004756504
12,12,6,"rz, rx, ry",circular,252,1500,93,4,7,9,2,45.204985424530555
13,11,5,rz,circular,66,2500,61,3,5,7,2,54.046026309941034
14,10,8,"ry, rx",circular,180,4800,98,5,6,6,2,64.82551092305643
15,14,6,rz,circular,98,2400,91,4,3,8,2,82.00125634300669
16,10,6,"rz, ry",circular,140,4200,74,2,6,8,2,84.74721492760094
17,12,5,"rx, rz",circular,144,3300,72,4,5,9,2,86.08331768270695
18,13,6,"rx, rz, ry",circular,273,2700,99,5,4,8,2,90.79041336911871
19,16,5,rz,circular,96,2400,86,3,7,5,2,95.80965709266991
20,13,7,rz,circular,104,4400,99,4,5,7,2,97.86326665099908
21,12,6,"rz, ry",circular,168,4900,86,5,4,6,2,109.56358196071352
22,11,5,"rx, ry, rz",circular,198,3100,73,3,4,6,2,110.37210291791003
23,12,6,"ry, rx",circular,168,4000,86,4,5,7,2,123.00200339888255
24,14,6,rz,circular,98,2900,91,3,7,7,2,126.2991715217481
25,15,4,"ry, rx, rz",circular,225,4000,75,2,5,9,2,127.3667252917481
26,13,6,rz,circular,91,2400,85,2,3,6,2,127.84575918584662
27,12,6,"ry, rz, rx",circular,252,3500,93,4,7,9,2,134.55311643692315
28,17,5,"ry, rx",circular,204,1300,97,2,5,5,2,140.48803973258836
29,12,6,rz,circular,84,4600,79,2,3,7,2,141.97094794252712
30,12,4,"ry, rz",circular,120,2800,58,5,4,8,2,142.8195646620377
31,15,6,rz,circular,105,4100,97,2,3,5,2,146.8331498201564
32,12,6,"rz, rx, ry",circular,252,2900,93,2,4,7,2,148.46480256448802
33,14,5,rx,circular,84,2300,76,3,3,9,2,152.60397146501535
34,11,5,"rx, ry",circular,132,1300,67,2,6,5,2,154.75423947984825
35,12,6,rz,circular,84,2400,79,4,5,8,2,160.79264912734945
36,15,6,rz,circular,105,2800,97,3,6,8,2,163.3636721509335
37,21,4,"ry, rx, rz",circular,315,2900,99,5,6,8,2,170.43268034415385
38,11,6,"rx, ry, rz",circular,231,4900,87,5,6,9,2,171.77586821102068
39,11,7,ry,circular,88,4600,85,3,4,9,2,177.134277558642
40,10,3,"rz, ry",circular,80,2700,38,4,7,5,2,182.04456019205603
41,21,3,"rz, rx, ry",circular,252,4400,75,5,3,5,2,185.80968377065375
42,16,5,"ry, rz",circular,192,3200,92,5,6,9,2,192.14675417898835
43,12,5,rz,circular,72,2200,66,3,7,5,2,194.8236574601796
44,10,7,"rz, rx",circular,160,4600,86,3,4,8,2,195.77860931872826
45,17,5,"ry, rx",circular,204,2500,97,2,7,9,2,196.20576864777576
46,13,6,"rz, ry, rx",circular,273,2000,99,5,4,6,2,205.52982985320872
47,13,5,"rz, ry, rx",circular,234,5000,83,4,3,6,2,219.00756104519405
48,22,4,"rz, rx",circular,220,4500,98,5,4,6,2,220.89182912519735
49,14,5,"rx, ry, rz",circular,252,4000,88,3,6,5,2,223.79680767451688
50,11,7,"rx, rz",circular,176,4400,93,2,6,8,2,229.92346754943378
51,13,6,ry,circular,91,4300,85,3,5,9,2,233.6560643579173
52,14,4,"rz, ry",circular,140,4000,66,5,6,5,2,236.60889960495223
53,10,5,rz,circular,60,2900,56,3,7,6,2,237.19587502635596
54,10,5,"rx, ry",circular,120,4600,62,2,4,5,2,241.17059601836965
55,13,5,ry,circular,78,4300,71,3,7,6,2,242.76995140417438
56,13,6,ry,circular,91,4100,85,4,7,9,2,246.6546891540263
57,14,6,"rz, rx",circular,196,3100,98,2,3,9,2,247.16537951801095
58,15,4,"ry, rx, rz",circular,225,2200,75,5,7,7,2,252.57151530288706
59,15,5,"ry, rz, rx",circular,270,4000,93,4,6,5,2,263.45979219090526
60,13,4,rx,circular,65,1200,57,2,6,9,2,264.6336352403996
61,12,5,ry,circular,72,1600,66,3,6,5,2,270.6780319167056
62,10,8,ry,circular,90,4100,89,2,5,7,2,271.4447397829223
63,13,5,ry,circular,78,3200,71,5,3,8,2,281.3278953536755
64,13,7,rz,circular,104,4600,99,2,7,9,2,287.23817398607235
65,10,6,"rz, ry",circular,140,1200,74,3,4,6,2,291.3332450873858
66,10,7,rz,circular,80,1900,78,4,6,8,2,291.93318419772544
67,12,6,"rx, rz, ry",circular,252,4800,93,2,5,5,2,292.3466983483896
68,18,3,"rz, ry, rx",circular,216,2500,66,4,4,9,2,292.6340032383236
69,10,8,rx,circular,90,1600,89,5,3,7,2,294.3347660432113
70,11,5,"rz, rx",circular,132,1300,67,2,7,9,2,296.7586162375522
71,15,4,"rx, ry, rz",circular,225,3800,75,2,4,9,2,300.2232206822399
72,12,6,"rz, rx",circular,168,2400,86,3,5,6,2,304.9934420129974
73,19,4,rx,circular,95,1000,81,5,7,6,2,306.3837658214452
74,11,7,"rx, rz",circular,176,3100,93,5,7,7,2,314.33485246864905
75,11,8,rx,circular,99,1400,97,5,4,7,2,316.4460398797808
76,19,4,"rx, ry",circular,190,2500,86,3,7,5,2,320.0408992280969
77,11,7,"rx, rz",circular,176,4200,93,2,5,8,2,328.3310969858229
78,11,6,ry,circular,77,2400,73,3,6,7,2,329.4059037542202
79,12,6,rz,circular,84,4400,79,5,5,9,2,339.6635993578796
80,18,5,rz,circular,108,4400,96,4,6,6,2,344.1295805942862
81,12,5,"ry, rx",circular,144,3700,72,2,5,7,2,346.7334836814867
82,11,6,"ry, rx",circular,154,1400,80,5,5,9,2,346.8549667105898
83,15,4,"rx, rz",circular,150,2400,70,2,3,9,2,360.0224811012312
84,16,5,"rx, ry, rz",circular,288,4000,98,2,5,7,2,360.4749594324381
85,12,5,"rz, rx, ry",circular,216,2400,78,2,5,8,2,363.1915546228515
86,14,6,ry,circular,98,4400,91,4,5,6,2,372.2751407526131
87,15,6,ry,circular,105,4400,97,2,5,7,2,388.6957169278915
88,14,6,ry,circular,98,1800,91,3,7,7,2,391.10825480542906
89,18,5,rx,circular,108,4000,96,3,4,6,2,395.94679154682063
90,12,6,"ry, rx, rz",circular,252,4800,93,3,7,7,2,405.06970547309515
91,11,6,ry,circular,77,4500,73,5,4,7,2,409.37892815492063
92,11,7,"rx, ry",circular,176,2900,93,3,6,6,2,411.89934190143254
93,12,5,"rx, rz, ry",circular,216,3300,78,4,4,5,2,413.4037405339303
94,15,6,rz,circular,105,2400,97,5,6,8,2,426.2036192796517
95,22,4,rx,circular,110,2300,93,3,4,9,2,434.47029729314977
96,11,7,rz,circular,88,2000,85,3,4,7,2,439.08990951647746
97,10,7,rz,circular,80,3600,78,5,7,6,2,440.3507453109822
98,10,6,"rx, rz, ry",circular,210,3600,81,5,7,5,2,441.29979035387265
99,15,5,ry,circular,90,4200,81,5,5,7,2,443.5262823079841
100,14,4,rx,circular,70,3000,61,2,3,8,2,449.21145755311045
101,11,3,"ry, rx",circular,88,4500,41,5,6,7,2,452.1987495905717
102,10,6,"rz, ry",circular,140,2800,74,4,5,9,2,456.5740735842269
103,15,5,"ry, rx, rz",circular,270,1100,93,4,3,5,2,457.50579173931794
104,20,4,"ry, rx",circular,200,4000,90,5,7,8,2,461.5739508661909
105,11,5,"rx, ry, rz",circular,198,4900,73,3,5,7,2,468.437652002181
106,21,4,"rx, ry, rz",circular,315,3300,99,5,5,9,2,471.10933935388954
107,11,6,rx,circular,77,1200,73,4,6,5,2,475.5021548694144
108,15,5,"rz, rx",circular,180,2500,87,5,3,9,2,477.5393831556064
109,12,3,"ry, rz, rx",circular,144,1000,48,3,6,8,2,477.8477576356058
110,10,6,rx,circular,70,3800,67,5,5,5,2,480.1246099835245
111,15,3,"rz, rx",circular,120,1500,53,3,6,8,2,485.73784968791614
112,10,6,rz,circular,70,4800,67,2,5,6,2,487.7338855219628
113,22,4,"rz, rx",circular,220,4100,98,2,3,8,2,490.59511870948654
114,19,4,"rz, ry, rx",circular,285,1800,91,4,4,5,2,506.81083876710926
115,10,6,"rz, ry",circular,140,3400,74,2,3,7,2,507.7280055286414
116,24,3,"ry, rx, rz",circular,288,1000,84,3,3,6,2,512.7875003745935
117,18,5,rx,circular,108,4500,96,2,4,5,2,521.0054116910605
118,10,7,"rx, ry, rz",circular,240,1600,94,5,4,7,2,522.2840244201743
119,13,6,"rz, ry",circular,182,4300,92,4,4,9,2,527.4881103893564
120,13,5,"rz, ry",circular,156,1300,77,4,4,9,2,531.399992335951
121,11,8,ry,circular,99,1600,97,4,5,8,2,532.1011205711596
122,10,7,rz,circular,80,4200,78,5,5,8,2,533.0507973498939
123,12,7,rx,circular,96,4100,92,2,7,6,2,534.5590109062782
124,18,4,"rz, rx",circular,180,1700,82,2,5,5,2,535.2408240770375
125,10,6,"ry, rx, rz",circular,210,1900,81,5,7,7,2,536.9648679950384
126,12,6,"ry, rz",circular,168,2600,86,3,7,8,2,538.1634576883313
127,14,6,"ry, rx",circular,196,2600,98,4,4,5,2,538.814922692321
128,10,8,"rx, ry",circular,180,3600,98,4,7,9,2,547.1886887088904
129,13,6,ry,circular,91,3300,85,4,5,6,2,548.2967009053575
130,13,5,"rz, rx, ry",circular,234,1200,83,4,6,6,2,555.8315990108113
131,10,6,"rx, ry",circular,140,3300,74,4,5,8,2,558.7107394581907
132,14,5,"ry, rx",circular,168,4700,82,5,3,9,2,570.079035818331
133,13,6,"ry, rx",circular,182,2000,92,5,3,9,2,570.3774717658572
134,10,7,rz,circular,80,3400,78,5,4,7,2,571.2297690184415
135,16,5,"rx, ry",circular,192,4000,92,3,6,6,2,576.8826178918179
136,10,7,rz,circular,80,3400,78,2,7,6,2,580.4257132648148
137,10,4,"ry, rx, rz",circular,150,1100,55,5,5,8,2,583.5584836417287
138,13,6,"ry, rx",circular,182,1200,92,4,3,8,2,584.1853751283236
139,13,7,ry,circular,104,3700,99,4,4,9,2,585.6829254116623
140,11,4,"ry, rz, rx",circular,165,2000,59,4,6,6,2,596.9952802101249
141,10,8,rx,circular,90,3100,89,5,7,7,2,601.1236120003348
142,11,7,ry,circular,88,3600,85,3,6,9,2,601.3266519657535
143,13,5,rx,circular,78,1000,71,3,6,7,2,606.5361597769348
144,12,6,ry,circular,84,1600,79,5,4,7,2,607.9821804773071
145,13,6,rx,circular,91,3100,85,3,3,9,2,617.068779601605
146,12,6,"rz, ry",circular,168,4100,86,4,5,5,2,619.8172712930501
147,15,6,ry,circular,105,4400,97,5,5,5,2,621.5068124899227
148,17,5,"ry, rx",circular,204,3600,97,3,5,6,2,624.9499415807136
149,13,5,ry,circular,78,1800,71,4,7,6,2,632.1781159125449
150,20,4,rx,circular,100,2400,85,3,7,9,2,633.6948296602264
151,12,6,rx,circular,84,2100,79,5,5,6,2,635.2764174637283
152,12,6,"ry, rx, rz",circular,252,3300,93,5,6,8,2,636.9544044494294
153,13,3,ry,circular,52,3600,43,2,7,6,2,645.9990753681673
154,13,5,"ry, rz",circular,156,3900,77,3,3,6,2,650.316239402055
155,12,5,"rz, rx",circular,144,4200,72,4,5,5,2,650.4157407886904
156,15,5,"ry, rx",circular,180,2600,87,3,3,9,2,658.6082866101879
157,13,5,rx,circular,78,3100,71,3,5,9,2,662.82341186618
158,10,6,rz,circular,70,3000,67,5,4,8,2,665.3435886871066
159,11,6,"ry, rz, rx",circular,231,3000,87,2,7,9,2,666.48296712582
160,12,3,rx,circular,48,2700,40,3,7,7,2,668.7065554671101
161,10,7,"rz, ry, rx",circular,240,2400,94,2,7,8,2,671.6934271685581
162,14,6,"rx, ry",circular,196,4400,98,2,6,9,2,675.3497158971937
163,12,6,rz,circular,84,4300,79,4,7,9,2,675.5277378932732
164,12,3,rz,circular,48,2700,40,5,5,5,2,678.5403803860299
165,15,3,"rx, ry, rz",circular,180,2200,57,5,5,6,2,681.904968322621
166,12,5,rz,circular,72,2900,66,5,7,7,2,687.1542109724455
167,18,4,"rz, rx, ry",circular,270,3000,87,4,4,9,2,689.868941730555
168,12,6,"ry, rx",circular,168,2400,86,3,5,6,2,692.1858012526185
169,12,5,"ry, rx",circular,144,4400,72,4,6,8,2,693.1093249783538
170,10,6,"ry, rx",circular,140,3400,74,4,3,8,2,698.1518123426332
171,10,3,"rx, ry, rz",circular,120,3600,42,2,5,8,2,700.7454446822417
172,11,7,ry,circular,88,4100,85,3,5,6,2,703.2821183261394
173,16,5,rx,circular,96,3800,86,4,6,9,2,715.2431286875438
174,21,4,"ry, rx",circular,210,2700,94,2,6,7,2,716.8414154756678
175,15,5,"ry, rx",circular,180,3800,87,5,3,8,2,722.5653882291971
176,13,5,rz,circular,78,3200,71,5,4,9,2,731.911206483844
177,11,5,"ry, rz, rx",circular,198,1300,73,5,3,5,2,732.3760242831491
178,10,7,"ry, rz",circular,160,1500,86,3,3,9,2,733.1375074786253
179,10,3,"rz, ry",circular,80,1900,38,5,6,6,2,734.4718347634085
180,11,5,ry,circular,66,1000,61,5,7,6,2,740.5158261201562
181,13,6,"ry, rz",circular,182,4100,92,4,6,9,2,741.1538781961696
182,13,5,"rz, ry, rx",circular,234,3600,83,5,5,9,2,742.2577713780536
183,10,6,"rx, rz",circular,140,4800,74,3,5,6,2,746.9976456010999
184,16,5,"ry, rz",circular,192,4800,92,5,3,6,2,752.6121928976999
185,11,6,"rz, rx",circular,154,2200,80,2,4,6,2,757.4009038942576
186,11,7,rx,circular,88,1500,85,2,6,5,2,760.1804949189116
187,11,6,ry,circular,77,4200,73,2,4,8,2,762.8563997421705
188,12,5,"ry, rz, rx",circular,216,2500,78,3,5,5,2,767.1253795016091
189,10,7,rx,circular,80,1800,78,2,3,5,2,773.0493388965023
190,16,5,"ry, rx",circular,192,4400,92,5,6,9,2,774.6249987667262
191,10,6,"rx, rz, ry",circular,210,3800,81,5,3,8,2,777.4103135027051
192,14,4,"rx, ry, rz",circular,210,3400,71,5,6,7,2,778.172940791002
193,13,6,"rz, rx",circular,182,5000,92,4,3,8,2,779.5624069466168
194,14,5,"rx, ry, rz",circular,252,4000,88,4,3,8,2,779.6697280980865
195,12,6,rx,circular,84,4800,79,2,5,9,2,781.6817978922275
196,10,6,"ry, rx",circular,140,1900,74,5,4,6,2,787.2981447874513
197,13,7,rx,circular,104,3400,99,3,6,6,2,787.9238816676979
198,12,3,"ry, rx, rz",circular,144,3400,48,4,3,8,2,794.5160608815829
199,11,7,ry,circular,88,4700,85,2,5,8,2,803.5264359897284
200,15,6,rz,circular,105,2000,97,5,3,9,2,810.5821056478538
201,17,3,"rz, rx",circular,136,1400,59,5,4,9,2,810.8995904597235
202,12,5,"rx, rz",circular,144,1900,72,5,3,9,2,815.7690892379215
203,15,6,rz,circular,105,2100,97,4,7,7,2,821.6799230713718
204,14,5,"rx, ry, rz",circular,252,2700,88,2,5,5,2,823.0121671969301
205,14,4,rx,circular,70,1400,61,4,5,5,2,824.3092103896519
206,15,5,rz,circular,90,1600,81,3,6,7,2,828.213548719951
207,12,6,ry,circular,84,3900,79,5,6,5,2,828.4416139672954
208,13,5,rx,circular,78,2400,71,4,7,9,2,830.7388155912611
209,10,7,"rx, rz, ry",circular,240,3700,94,3,6,6,2,835.5103082593876
210,12,6,"ry, rz",circular,168,3000,86,5,5,7,2,838.1504653506144
211,11,5,"rz, ry",circular,132,3400,67,5,3,6,2,839.0332389114528
212,14,3,"ry, rx, rz",circular,168,1700,54,5,3,6,2,844.9716316758811
213,10,5,"ry, rz",circular,120,3000,62,2,6,9,2,855.65803588316
214,14,5,"rz, ry",circular,168,1600,82,5,3,6,2,859.9992940224683
215,16,5,"ry, rz",circular,192,4200,92,3,3,6,2,863.1365251082321
216,10,5,"rx, rz, ry",circular,180,1200,68,5,3,6,2,863.6613428188735
217,12,6,ry,circular,84,3700,79,5,7,5,2,866.5081365038669
218,10,8,rz,circular,90,2300,89,5,6,7,2,867.1319684841499
219,14,6,rx,circular,98,1400,91,2,7,9,2,870.9924847029985
220,25,3,"rx, ry",circular,200,1800,83,2,7,5,2,871.5527987229599
221,19,4,"rx, ry, rz",circular,285,2200,91,4,6,9,2,879.2118823291279
222,20,4,"rz, ry",circular,200,3400,90,2,6,7,2,884.6721227238514
223,23,3,"rz, rx",circular,184,3500,77,4,3,9,2,886.3015846372772
224,15,5,"rz, rx",circular,180,3500,87,5,7,7,2,896.9127925093098
225,13,5,"rx, ry",circular,156,4600,77,2,3,5,2,899.9180472596836
226,11,5,"ry, rx",circular,132,3800,67,5,7,7,2,900.639100519166
227,10,5,"rz, rx",circular,120,3600,62,4,6,9,2,904.9200558413287
228,14,6,rx,circular,98,4500,91,3,5,7,2,905.0061324997401
229,15,5,ry,circular,90,3700,81,4,7,6,2,912.0032650065672
230,15,3,"ry, rx",circular,120,2700,53,3,6,5,2,915.7039335418624
231,14,4,"rx, rz",circular,140,1900,66,2,7,7,2,920.9600776542779
232,11,6,"ry, rx, rz",circular,231,3000,87,4,4,6,2,924.161667035774
233,13,6,"rx, rz",circular,182,1700,92,3,4,8,2,930.2412663678575
234,14,6,"rx, ry",circular,196,4200,98,2,3,6,2,931.6279792964439
235,17,5,"rx, rz",circular,204,4600,97,2,4,8,2,940.1096696448105
236,13,7,rx,circular,104,2700,99,2,3,6,2,946.7217286463019
237,10,8,"rx, rz",circular,180,1600,98,5,6,8,2,949.1233232042051
238,15,4,"rz, rx, ry",circular,225,3200,75,3,7,8,2,955.4373563445856
239,11,5,ry,circular,66,1800,61,3,4,7,2,956.9832326122635
240,12,6,"rx, rz, ry",circular,252,4300,93,2,7,6,2,964.9125320145857
241,16,5,"ry, rz, rx",circular,288,3700,98,4,3,5,2,966.3687732065677
242,11,5,"rz, ry",circular,132,2000,67,5,5,6,2,969.1969357310877
243,10,6,ry,circular,70,1000,67,2,6,8,2,980.3087838420419
244,12,7,rz,circular,96,4200,92,2,3,6,2,988.3130527290829
245,10,7,"rz, ry, rx",circular,240,1100,94,5,4,5,2,996.7241183839983
246,14,5,rx,circular,84,1200,76,4,5,7,2,998.0206873985015
247,14,5,"rx, rz",circular,168,1400,82,5,5,9,2,1005.7850678464223
248,13,6,"rx, ry",circular,182,3400,92,2,5,9,2,1008.8519276305461
249,13,7,ry,circular,104,3700,99,4,4,6,2,1010.2056714628628
250,17,5,"ry, rz",circular,204,1300,97,3,6,9,2,1011.0534579306886
251,11,5,"rx, ry, rz",circular,198,3100,73,5,5,8,2,1017.9075453889504
252,18,4,"rz, ry",circular,180,4900,82,5,3,7,2,1018.5173185149271
253,12,5,ry,circular,72,2800,66,4,6,6,2,1019.5439109866547
254,11,7,rz,circular,88,2100,85,4,7,9,2,1020.578752144045
255,11,6,"ry, rx",circular,154,4300,80,5,6,9,2,1028.321403485293
256,10,7,rz,circular,80,1600,78,5,6,9,2,1030.8849590862455
257,11,6,ry,circular,77,1100,73,4,7,6,2,1038.7937434912785
258,13,5,"rx, rz",circular,156,2300,77,5,6,7,2,1040.4542622613692
259,17,5,"ry, rz",circular,204,2300,97,2,4,5,2,1040.7553325338583
260,10,5,ry,circular,60,3100,56,4,3,9,2,1047.7562491190895
261,12,6,"rz, ry",circular,168,2600,86,5,7,7,2,1049.5245273542982
262,15,6,rz,circular,105,3200,97,3,3,8,2,1060.5785676298733
