job_id,num_qubits,layers,rotations,entanglement,param_count,num_shots,depth,req_iterations,cpu_units,mem_bw,priority,arrival_time
1,12,5,"rx, rz, ry",circular,216,2200,78,2,3,8,2,0.015643910824887624
2,18,4,ry,circular,90,3600,77,5,6,9,2,1.2961249208510472
3,12,4,rx,circular,60,2800,53,5,4,9,2,2.8277573540998873
4,18,5,ry,circular,108,1800,96,5,7,9,2,6.076326411136872
5,13,7,ry,circular,104,4700,99,2,7,5,2,6.511164954964505
6,17,5,"ry, rx",circular,204,4700,97,5,3,5,2,16.188052874712085
7,22,3,rz,circular,88,2900,70,5,6,9,2,21.871619109320417
8,11,7,"ry, rx",circular,176,3300,93,2,4,9,2,26.204652203067184
9,17,5,ry,circular,102,3600,91,3,3,9,2,27.61462135599887
10,13,7,rz,circular,104,3600,99,2,6,6,2,28.974007855889674
11,10,7,ry,circular,80,1400,78,2,3,8,2,33.65962391120901
12,12,6,"rz, rx, ry",circular,252,1500,93,5,5,9,2,35.63529428435486
13,11,5,rz,circular,66,2500,61,3,5,7,2,36.54539199264058
14,10,8,"ry, rx",circular,180,4800,98,2,3,8,2,37.77501060111104
15,14,6,rz,circular,98,2400,91,2,4,8,2,38.71245227423457
16,10,6,"rz, ry",circular,140,4200,74,5,4,8,2,39.19474439609159
17,12,5,"rx, rz",circular,144,3300,72,4,3,6,2,40.31340802743624
18,13,6,"rx, rz, ry",circular,273,2700,99,3,3,8,2,48.79367775181039
19,16,5,rz,circular,96,2400,86,2,3,7,2,52.04737609096198
20,13,7,rz,circular,104,4400,99,4,4,8,2,55.03965856577989
21,12,6,"rz, ry",circular,168,4900,86,3,5,6,2,60.41020058423968
22,11,5,"rx, ry, rz",circular,198,3100,73,5,7,7,2,63.456690998113224
23,12,6,"ry, rx",circular,168,4000,86,3,4,5,2,72.31701952724634
24,14,6,rz,circular,98,2900,91,2,3,5,2,83.40775756817985
25,15,4,"ry, rx, rz",circular,225,4000,75,4,7,8,2,83.77109886735771
26,13,6,rz,circular,91,2400,85,5,6,8,2,84.02680155510602
27,12,6,"ry, rz, rx",circular,252,3500,93,5,7,8,2,86.80563035728434
28,17,5,"ry, rx",circular,204,1300,97,5,3,9,2,93.02320840872683
29,12,6,rz,circular,84,4600,79,5,7,5,2,94.30912601858057
30,12,4,"ry, rz",circular,120,2800,58,5,7,8,2,98.62274596487207
31,15,6,rz,circular,105,4100,97,2,7,6,2,99.3376138054624
32,12,6,"rz, rx, ry",circular,252,2900,93,3,6,7,2,100.63752827979545
33,14,5,rx,circular,84,2300,76,4,5,6,2,106.0612441074355
34,11,5,"rx, ry",circular,132,1300,67,2,3,6,2,121.74964117946672
35,12,6,rz,circular,84,2400,79,4,3,9,2,128.65818743560857
36,15,6,rz,circular,105,2800,97,5,7,9,2,131.7711442570354
37,21,4,"ry, rx, rz",circular,315,2900,99,2,7,7,2,132.60141585633977
38,11,6,"rx, ry, rz",circular,231,4900,87,2,3,6,2,133.09943710336947
39,11,7,ry,circular,88,4600,85,3,7,5,2,135.52859830581525
40,10,3,"rz, ry",circular,80,2700,38,3,5,9,2,136.84850344906783
41,21,3,"rz, rx, ry",circular,252,4400,75,5,6,5,2,138.07973652894898
42,16,5,"ry, rz",circular,192,3200,92,5,4,6,2,145.78328283534648
43,12,5,rz,circular,72,2200,66,3,6,9,2,146.9126475890798
44,10,7,"rz, rx",circular,160,4600,86,4,3,9,2,155.39843819366655
45,17,5,"ry, rx",circular,204,2500,97,2,5,6,2,157.55298828292905
46,13,6,"rz, ry, rx",circular,273,2000,99,2,5,9,2,160.29108312626178
47,13,5,"rz, ry, rx",circular,234,5000,83,4,5,7,2,164.81698923418102
48,22,4,"rz, rx",circular,220,4500,98,3,4,6,2,177.07822706302804
49,14,5,"rx, ry, rz",circular,252,4000,88,5,6,9,2,184.62189321404315
50,11,7,"rx, rz",circular,176,4400,93,5,5,7,2,190.38910118307
51,13,6,ry,circular,91,4300,85,5,5,8,2,201.3036090110681
52,14,4,"rz, ry",circular,140,4000,66,4,3,6,2,203.49145643656274
53,10,5,rz,circular,60,2900,56,5,6,5,2,208.96095157010984
54,10,5,"rx, ry",circular,120,4600,62,4,7,8,2,211.492505103632
55,13,5,ry,circular,78,4300,71,5,5,6,2,216.0627913210673
56,13,6,ry,circular,91,4100,85,3,3,6,2,219.8030633467401
57,14,6,"rz, rx",circular,196,3100,98,4,4,6,2,220.37074967367911
58,15,4,"ry, rx, rz",circular,225,2200,75,5,5,8,2,222.84415919414397
59,15,5,"ry, rz, rx",circular,270,4000,93,4,4,9,2,226.86797211143934
60,13,4,rx,circular,65,1200,57,4,6,9,2,229.5441585168859
61,12,5,ry,circular,72,1600,66,4,5,9,2,237.93502284537033
62,10,8,ry,circular,90,4100,89,2,3,9,2,241.96946914022976
63,13,5,ry,circular,78,3200,71,2,5,5,2,245.09449774250135
64,13,7,rz,circular,104,4600,99,5,3,5,2,251.04274284052246
65,10,6,"rz, ry",circular,140,1200,74,5,3,7,2,256.9498818113651
66,10,7,rz,circular,80,1900,78,5,6,8,2,259.2867462186805
67,12,6,"rx, rz, ry",circular,252,4800,93,4,7,9,2,261.904528495538
68,18,3,"rz, ry, rx",circular,216,2500,66,5,6,8,2,262.527362594732
69,10,8,rx,circular,90,1600,89,5,7,7,2,268.5938787887369
70,11,5,"rz, rx",circular,132,1300,67,2,4,6,2,271.73439702257343
71,15,4,"rx, ry, rz",circular,225,3800,75,2,6,6,2,277.4807217904199
72,12,6,"rz, rx",circular,168,2400,86,3,4,6,2,281.40212669398176
73,19,4,rx,circular,95,1000,81,5,3,7,2,283.7703891865772
74,11,7,"rx, rz",circular,176,3100,93,2,6,5,2,288.7850963694824
75,11,8,rx,circular,99,1400,97,2,6,5,2,289.2200762766477
76,19,4,"rx, ry",circular,190,2500,86,5,6,8,2,293.8850041524228
77,11,7,"rx, rz",circular,176,4200,93,4,4,5,2,295.70512389506405
78,11,6,ry,circular,77,2400,73,3,5,5,2,297.66262299854105
79,12,6,rz,circular,84,4400,79,3,5,9,2,306.33159724471125
80,18,5,rz,circular,108,4400,96,3,6,5,2,307.60642710369217
81,12,5,"ry, rx",circular,144,3700,72,3,7,7,2,309.25293157663117
82,11,6,"ry, rx",circular,154,1400,80,5,6,9,2,314.53888107172884
83,15,4,"rx, rz",circular,150,2400,70,3,5,7,2,317.14611096852985
84,16,5,"rx, ry, rz",circular,288,4000,98,4,3,7,2,317.6161120657185
85,12,5,"rz, rx, ry",circular,216,2400,78,4,3,8,2,317.7142828693615
86,14,6,ry,circular,98,4400,91,5,3,7,2,320.56905129701806
87,15,6,ry,circular,105,4400,97,2,5,5,2,324.3604695974024
88,14,6,ry,circular,98,1800,91,4,5,7,2,324.7763666256369
89,18,5,rx,circular,108,4000,96,2,3,5,2,327.74816647037113
90,12,6,"ry, rx, rz",circular,252,4800,93,3,5,5,2,336.93348474519655
91,11,6,ry,circular,77,4500,73,2,7,7,2,339.9153069556693
92,11,7,"rx, ry",circular,176,2900,93,5,3,7,2,342.54004800652723
93,12,5,"rx, rz, ry",circular,216,3300,78,5,4,8,2,344.5217431619639
94,15,6,rz,circular,105,2400,97,4,4,8,2,344.9205308358081
95,22,4,rx,circular,110,2300,93,3,6,7,2,350.9180153106495
96,11,7,rz,circular,88,2000,85,4,4,9,2,351.5733099676304
97,10,7,rz,circular,80,3600,78,4,6,5,2,354.02366223131133
98,10,6,"rx, rz, ry",circular,210,3600,81,2,4,6,2,364.7838318838735
99,15,5,ry,circular,90,4200,81,5,4,5,2,365.1705829382115
100,14,4,rx,circular,70,3000,61,2,4,5,2,365.7132343029089
101,11,3,"ry, rx",circular,88,4500,41,4,3,5,2,368.9798934881904
102,10,6,"rz, ry",circular,140,2800,74,3,7,6,2,376.14521166117686
103,15,5,"ry, rx, rz",circular,270,1100,93,2,7,5,2,382.85062116820853
104,20,4,"ry, rx",circular,200,4000,90,5,3,8,2,383.1296569354328
105,11,5,"rx, ry, rz",circular,198,4900,73,3,3,7,2,384.8544112570618
106,21,4,"rx, ry, rz",circular,315,3300,99,4,3,9,2,386.0862965124807
107,11,6,rx,circular,77,1200,73,5,3,8,2,391.62858961404237
108,15,5,"rz, rx",circular,180,2500,87,3,4,8,2,391.9077188436948
109,12,3,"ry, rz, rx",circular,144,1000,48,5,6,9,2,392.314499533279
110,10,6,rx,circular,70,3800,67,2,6,6,2,393.9573898951352
111,15,3,"rz, rx",circular,120,1500,53,3,4,7,2,397.9710294826186
112,10,6,rz,circular,70,4800,67,3,4,9,2,401.49942336309795
113,22,4,"rz, rx",circular,220,4100,98,3,4,8,2,402.33572047750465
114,19,4,"rz, ry, rx",circular,285,1800,91,4,4,7,2,403.5901447060097
115,10,6,"rz, ry",circular,140,3400,74,4,7,7,2,406.094324431999
116,24,3,"ry, rx, rz",circular,288,1000,84,2,5,7,2,407.75877838641094
117,18,5,rx,circular,108,4500,96,5,7,7,2,410.21323501188937
118,10,7,"rx, ry, rz",circular,240,1600,94,3,5,7,2,415.6026544225026
