job_id,num_qubits,depth,priority,arrival_time,num_shots,req_iterations,cpu_units,mem_bw
0,15,11,2,1.8337,6000,7,10,20
1,16,10,2,3.682,3000,7,10,20
2,16,19,2,4.3144,4000,5,10,20
3,10,12,2,4.9208,6000,8,7,14
4,14,12,2,9.1753,8000,3,9,19
5,16,19,2,10.2836,5000,4,10,20
6,11,19,2,10.6186,5000,8,8,15
7,17,14,2,13.2434,4000,5,10,20
8,16,18,2,14.1661,9000,4,10,20
9,14,12,2,14.6397,8000,7,9,19
10,11,17,2,19.2522,3000,4,8,15
11,20,10,2,21.0853,8000,7,10,20
12,12,14,2,21.126,6000,9,8,17
13,16,18,2,21.3277,4000,8,10,20
14,17,13,2,21.785,9000,3,10,20
15,10,14,2,22.2591,6000,7,7,14
16,11,17,2,22.4989,2000,3,8,15
17,14,12,2,23.3846,4000,7,9,19
18,19,10,2,24.0888,7000,3,10,20
19,11,14,2,24.6804,7000,8,8,15
20,17,16,2,26.1085,7000,6,10,20
21,17,18,2,27.3635,9000,9,10,20
22,17,19,2,27.4221,2000,3,10,20
23,16,13,2,27.934,2000,5,10,20
24,10,14,2,28.3052,2000,7,7,14
25,13,18,2,28.8753,3000,6,9,18
26,12,11,2,30.663,5000,4,8,17
27,13,14,2,32.0068,6000,9,9,18
28,19,18,2,32.5302,2000,9,10,20
29,10,16,2,33.5676,7000,7,7,14
30,18,18,2,35.2372,4000,7,10,20
31,15,18,2,36.0618,2000,4,10,20
32,10,17,2,36.9441,7000,5,7,14
33,15,20,2,37.458,6000,3,10,20
34,18,10,2,37.6045,2000,9,10,20
35,16,10,2,39.2927,5000,8,10,20
36,15,11,2,39.9956,3000,5,10,20
37,20,11,2,40.0518,8000,8,10,20
38,10,13,2,40.6281,7000,4,7,14
39,16,15,2,43.6183,9000,7,10,20
40,10,15,2,44.8672,7000,7,7,14
41,16,15,2,49.1172,7000,6,10,20
42,20,16,2,49.2265,3000,4,10,20
43,17,17,2,51.0843,2000,9,10,20
44,19,13,2,52.8873,7000,7,10,20
45,17,18,2,55.1533,7000,4,10,20
46,15,20,2,56.4444,2000,8,10,20
47,12,14,2,58.239,3000,7,8,17
48,10,12,2,59.121,7000,9,7,14
49,19,15,2,59.2758,3000,9,10,20
50,18,11,2,59.4498,4000,7,10,20
51,11,13,2,59.9689,9000,8,8,15
52,19,17,2,61.1689,6000,7,10,20
53,20,15,2,61.18,9000,4,10,20
54,12,10,2,63.6051,3000,9,8,17
55,14,15,2,64.1722,7000,6,9,19
56,10,15,2,64.6463,5000,5,7,14
57,13,17,2,67.0506,7000,9,9,18
58,12,16,2,67.939,7000,6,8,17
59,14,12,2,68.0808,3000,7,9,19
60,11,18,2,68.0971,7000,3,8,15
61,17,12,2,68.5827,6000,5,10,20
62,18,10,2,68.7834,9000,9,10,20
63,14,10,2,69.1341,9000,3,9,19
64,11,15,2,70.3171,3000,9,8,15
65,14,11,2,71.454,5000,4,9,19
66,17,19,2,71.8149,6000,4,10,20
67,19,14,2,72.6965,9000,3,10,20
68,19,12,2,72.896,5000,4,10,20
69,10,20,2,73.3606,9000,9,7,14
70,15,16,2,74.4527,2000,4,10,20
71,18,17,2,74.6312,5000,3,10,20
72,14,11,2,74.6681,3000,6,9,19
73,15,20,2,77.4932,3000,4,10,20
74,16,14,2,77.7007,4000,6,10,20
75,12,19,2,78.8186,2000,7,8,17
76,13,12,2,79.1174,6000,4,9,18
77,20,12,2,80.1041,4000,8,10,20
78,19,15,2,83.8392,8000,9,10,20
79,17,18,2,84.1263,2000,5,10,20
80,12,19,2,84.4247,3000,3,8,17
81,12,17,2,84.9201,2000,9,8,17
82,12,20,2,84.9251,8000,9,8,17
83,17,11,2,86.6771,7000,6,10,20
84,20,20,2,87.2012,9000,6,10,20
85,19,10,2,87.2178,6000,7,10,20
86,17,20,2,87.6588,4000,9,10,20
87,18,10,2,87.8987,2000,5,10,20
88,10,17,2,88.2351,7000,4,7,14
89,20,11,2,88.7124,2000,5,10,20
90,11,15,2,90.5709,3000,9,8,15
91,17,13,2,90.5925,2000,4,10,20
92,12,13,2,90.6891,2000,6,8,17
93,11,12,2,91.4067,6000,5,8,15
94,11,12,2,92.1473,5000,5,8,15
95,17,20,2,92.2091,9000,9,10,20
96,13,12,2,92.4029,2000,7,9,18
97,10,14,2,92.4564,8000,7,7,14
98,19,13,2,93.8823,4000,9,10,20
99,12,20,2,94.3969,3000,4,8,17
100,10,18,2,96.5358,9000,8,7,14
101,20,13,2,97.7444,7000,3,10,20
102,17,12,2,98.5226,9000,3,10,20
103,18,15,2,98.772,7000,9,10,20
104,17,18,2,98.839,6000,3,10,20
105,20,18,2,100.3086,6000,9,10,20
106,17,15,2,101.2663,8000,8,10,20
107,19,18,2,102.6506,9000,8,10,20
108,12,18,2,102.8285,3000,9,8,17
109,19,10,2,103.419,8000,4,10,20
110,20,18,2,103.5007,6000,5,10,20
111,10,14,2,105.0924,3000,9,7,14
112,20,11,2,105.2726,8000,3,10,20
113,15,10,2,105.5048,7000,8,10,20
114,12,15,2,107.0228,2000,5,8,17
115,14,13,2,107.0901,3000,7,9,19
116,18,18,2,109.0073,9000,7,10,20
117,15,11,2,110.3239,6000,9,10,20
118,18,15,2,112.6386,5000,5,10,20
119,20,19,2,113.0231,3000,6,10,20
120,11,12,2,113.1053,8000,8,8,15
121,19,18,2,113.8539,7000,6,10,20
122,20,15,2,114.1835,8000,9,10,20
123,11,12,2,114.5396,9000,4,8,15
124,10,18,2,114.8844,6000,8,7,14
125,10,13,2,115.3952,5000,5,7,14
126,14,17,2,118.3052,3000,5,9,19
127,14,19,2,118.5311,4000,6,9,19
128,13,19,2,119.0308,4000,6,9,18
129,20,17,2,119.8196,3000,3,10,20
130,16,20,2,121.0008,5000,4,10,20
131,14,17,2,123.3927,8000,8,9,19
132,16,15,2,123.7153,3000,5,10,20
133,12,11,2,123.7997,4000,5,8,17
134,11,15,2,124.5911,6000,8,8,15
135,10,18,2,125.1649,5000,6,7,14
136,13,17,2,128.1639,7000,5,9,18
137,19,12,2,134.3814,7000,7,10,20
138,13,12,2,136.5671,3000,3,9,18
139,10,11,2,136.6268,4000,9,7,14
140,20,18,2,137.5729,2000,8,10,20
141,15,19,2,138.8029,2000,3,10,20
142,14,18,2,140.5814,8000,6,9,19
143,16,12,2,141.4871,7000,5,10,20
144,13,20,2,141.5377,8000,7,9,18
145,12,10,2,141.7646,6000,4,8,17
146,15,15,2,141.9905,8000,5,10,20
147,14,18,2,145.3551,7000,4,9,19
148,17,16,2,145.7407,9000,6,10,20
149,18,10,2,147.1349,8000,8,10,20
150,20,14,2,147.4228,9000,8,10,20
151,18,14,2,147.8685,6000,6,10,20
152,11,18,2,148.1538,8000,8,8,15
153,17,20,2,152.8591,3000,9,10,20
154,13,11,2,153.5863,8000,4,9,18
155,10,20,2,153.6314,4000,6,7,14
156,13,11,2,153.9105,4000,6,9,18
157,18,15,2,157.0362,2000,7,10,20
158,14,11,2,157.7744,6000,8,9,19
159,14,17,2,157.8896,4000,9,9,19
160,18,13,2,158.1367,2000,4,10,20
161,11,13,2,158.5508,5000,4,8,15
162,17,11,2,159.8802,5000,6,10,20
163,13,14,2,160.289,6000,7,9,18
164,13,16,2,161.2254,8000,4,9,18
165,13,20,2,163.5506,5000,8,9,18
166,11,12,2,163.554,3000,6,8,15
167,19,13,2,164.1369,4000,3,10,20
