job_id,num_qubits,layers,rotations,entanglement,param_count,num_shots,depth,req_iterations,cpu_units,mem_bw,arrival_time,priority
1,12,7,"rz, ry, rx",circular,288,2600,108,8,9,14,10.139018395899113,2
2,19,6,"rz, ry",circular,266,2800,128,8,7,12,10.809746141220115,2
3,22,8,"rz, ry",circular,396,1900,194,5,8,13,13.489149009951968,2
4,12,5,"rx, rz, ry",circular,216,2200,78,9,7,18,13.758898799610886,2
5,21,6,rz,circular,147,2800,133,9,9,13,17.664010141909394,2
6,15,8,"ry, rx",circular,270,4500,138,9,9,12,17.913573876548433,2
7,18,4,ry,circular,90,3600,77,9,5,11,18.06378980111569,2
8,20,6,"ry, rx",circular,280,3800,134,9,6,12,19.84291006569068,2
9,24,4,rx,circular,120,4200,101,7,5,17,21.73291816647683,2
10,12,4,rx,circular,60,2800,53,8,6,12,22.839008152248173,2
11,22,7,"rz, ry, rx",circular,528,3800,178,7,7,10,26.24458878300087,2
12,18,5,ry,circular,108,1800,96,9,7,14,26.486527593481465,2
13,12,7,"ry, rz, rx",circular,288,2200,108,7,9,16,26.656681053694747,2
14,25,7,rx,circular,200,2400,183,7,5,17,26.730108484940104,2
15,23,7,"rx, ry",circular,368,2800,177,9,7,19,30.213712106447108,2
16,10,8,"rx, rz, ry",circular,270,3000,107,8,8,13,30.487518401686007,2
17,19,7,ry,circular,152,4000,141,7,8,14,31.93633925158512,2
18,13,7,"ry, rz, rx",circular,312,3000,115,8,6,16,32.235508337268385,2
19,13,7,ry,circular,104,4700,99,9,8,13,32.483835615313346,2
20,18,7,"rx, ry",circular,288,5000,142,5,7,18,32.941251745270996,2
21,10,9,ry,circular,100,3800,100,7,6,13,36.226170904907605,2
22,25,8,"rx, rz",circular,450,1700,218,5,9,15,38.41361596827665,2
23,22,7,"ry, rx, rz",circular,528,2400,178,5,6,18,39.23893017635237,2
24,17,6,"ry, rz",circular,238,4800,116,7,9,14,40.44710224504895,2
25,21,8,ry,circular,189,2100,177,5,9,17,42.75865739712309,2
26,24,6,"rx, ry, rz",circular,504,3900,165,9,8,16,45.345212213668276,2
27,17,5,"ry, rx",circular,204,4700,97,7,5,17,45.39640040509645,2
28,22,3,rz,circular,88,2900,70,5,6,17,48.10361545098485,2
29,15,6,"rz, ry, rx",circular,315,5000,111,9,6,16,48.15637710982812,2
30,11,7,"ry, rx",circular,176,3300,93,9,9,15,48.7016051392526,2
31,24,5,"rx, ry, rz",circular,432,1700,138,9,7,17,50.97946306014843,2
32,13,8,"rz, rx",circular,234,2100,122,8,6,16,53.62952392495686,2
33,12,8,"rx, ry",circular,216,2900,114,5,7,15,53.77022030075384,2
34,17,5,ry,circular,102,3600,91,6,8,10,54.523937610007266,2
35,19,7,"rx, ry, rz",circular,456,2100,157,8,7,16,55.240338194282465,2
36,23,7,"ry, rz",circular,368,1100,177,5,5,18,55.94931140842061,2
37,22,8,rz,circular,198,2600,185,6,5,11,57.67663413292391,2
38,13,7,rz,circular,104,3600,99,5,8,19,58.429315285028345,2
39,10,7,ry,circular,80,1400,78,7,6,11,60.73411281046481,2
40,22,5,"rz, rx, ry",circular,396,3400,128,9,6,17,61.412073529149545,2
41,13,7,"ry, rx",circular,208,1200,107,7,6,11,61.97146609019694,2
42,24,5,"rz, ry",circular,288,4600,132,7,8,16,62.40077324402996,2
43,23,5,rx,circular,138,3500,121,7,9,15,64.72859205893918,2
