job_id,num_qubits,depth,priority,arrival_time,num_shots,req_iterations,cpu_units,mem_bw
0,13,12,2,0.8335,2800,21,9,18
1,19,16,2,0.8792,3600,21,10,20
2,16,6,2,0.9106,3800,21,10,20
3,7,8,2,1.8431,1700,21,6,11
4,18,8,2,1.8923,3200,21,10,20
5,3,12,2,3.7452,1700,21,4,6
6,7,11,2,4.0191,1200,21,6,11
7,6,19,2,4.2294,1800,21,5,10
8,16,6,2,4.8887,1400,21,10,20
9,19,11,2,5.5744,4100,21,10,20
10,16,17,2,5.6638,2500,21,10,20
11,8,20,2,5.9331,3100,21,6,12
12,17,20,2,6.1618,4600,21,10,20
13,3,17,2,6.6239,1200,21,4,6
14,7,8,2,8.7151,3100,21,6,11
15,3,16,2,9.2072,3000,21,4,6
16,14,7,2,9.3551,1100,21,9,19
17,18,6,2,9.5289,2400,21,10,20
18,3,14,2,11.364,4500,21,4,6
19,13,14,2,11.9049,2300,21,9,18
20,15,19,2,12.5591,1600,21,10,20
21,8,8,2,14.2671,3600,21,6,12
22,8,8,2,16.1811,1700,21,6,12
23,16,5,2,16.4516,2600,21,10,20
24,16,19,2,16.9445,2700,21,10,20
25,15,10,2,17.245,2900,21,10,20
26,11,5,2,17.824,4600,21,8,15
27,11,18,2,18.3578,2400,21,8,15
28,6,13,2,19.0848,4100,21,5,10
29,20,13,2,19.27,2300,21,10,20
30,4,17,2,19.4446,2200,21,4,8
31,9,5,2,20.2237,3700,21,7,13
32,20,17,2,20.5758,4100,21,10,20
33,7,10,2,21.4383,4800,21,6,11
34,6,11,2,21.6646,3900,21,5,10
35,3,7,2,22.474,2700,21,4,6
36,14,14,2,23.2236,3600,21,9,19
37,11,12,2,23.393,3600,21,8,15
38,19,12,2,23.9364,4100,21,10,20
39,5,18,2,24.2493,3600,21,5,9
40,16,19,2,24.3322,4100,21,10,20
41,17,5,2,24.8012,2400,21,10,20
42,15,14,2,25.6863,1300,21,10,20
43,4,13,2,25.7747,2400,21,4,8
44,10,6,2,26.1808,2200,21,7,14
45,12,12,2,26.2352,4600,21,8,17
46,3,15,2,26.7257,5000,21,4,6
47,6,15,2,27.3,2600,21,5,10
48,20,8,2,27.831,1200,21,10,20
49,4,16,2,28.3672,3600,21,4,8
50,3,7,2,29.7415,1700,21,4,6
51,20,8,2,30.2572,2200,21,10,20
52,16,7,2,30.5749,3200,21,10,20
53,20,11,2,31.0764,1100,21,10,20
54,3,20,2,32.4088,4600,21,4,6
55,19,7,2,33.2809,2500,21,10,20
56,3,15,2,34.6026,2500,21,4,6
57,16,8,2,35.2897,1200,21,10,20
58,9,7,2,35.6286,4900,21,7,13
59,14,14,2,36.4322,1600,21,9,19
60,16,19,2,36.7595,3300,21,10,20
61,20,13,2,37.1808,4900,21,10,20
62,20,12,2,37.7097,3200,21,10,20
63,15,15,2,38.9156,3900,21,10,20
64,7,10,2,39.7072,1000,21,6,11
65,5,13,2,40.4173,3800,21,5,9
66,4,12,2,40.4656,1400,21,4,8
67,15,11,2,40.7641,3200,21,10,20
