job_id,num_qubits,depth,priority,arrival_time,num_shots,req_iterations,cpu_units,mem_bw
0,10,17,2,0.6096,2800,6,7,14
1,19,10,2,1.6542,1800,6,10,20
2,8,12,2,2.0235,2800,4,6,12
3,10,15,2,2.2094,2700,5,7,14
4,10,14,2,2.7178,3800,6,7,14
5,3,19,2,4.927,2700,6,4,6
6,14,11,2,6.6928,1800,5,9,19
7,16,17,2,8.589,2000,7,10,20
8,4,5,2,8.7597,1200,7,4,8
9,6,18,2,9.7185,4500,5,5,10
10,15,5,2,10.8266,1500,5,10,20
11,14,14,2,10.9389,2200,5,9,19
12,10,10,2,11.1942,1700,7,7,14
13,18,6,2,12.4691,1700,4,10,20
14,12,13,2,12.645,1900,3,8,17
15,16,14,2,14.116,1900,3,10,20
16,18,15,2,14.7797,4600,4,10,20
17,15,20,2,14.9066,4500,6,10,20
18,17,18,2,15.4047,4000,4,10,20
19,19,13,2,15.8911,2400,7,10,20
20,16,6,2,15.9889,4400,5,10,20
21,3,9,2,16.0502,1300,5,4,6
22,17,12,2,16.6825,3700,4,10,20
23,7,20,2,16.7936,2800,6,6,11
24,6,5,2,16.9868,4700,4,5,10
25,12,11,2,17.0586,1400,7,8,17
26,14,11,2,17.2237,4700,3,9,19
27,17,18,2,18.2006,1300,5,10,20
28,17,10,2,18.4741,3700,7,10,20
29,18,7,2,18.8086,1900,3,10,20
30,5,16,2,19.3375,2700,3,5,9
31,5,20,2,20.0499,3700,6,5,9
32,12,19,2,20.6912,1300,6,8,17
33,6,14,2,20.7221,4700,6,5,10
34,3,16,2,21.2124,1100,6,4,6
35,17,5,2,21.9826,1100,4,10,20
36,3,19,2,24.3603,3700,5,4,6
37,3,8,2,24.8174,1600,6,4,6
38,20,18,2,26.0562,4100,5,10,20
39,10,17,2,26.8069,2400,6,7,14
40,10,18,2,26.8539,2900,7,7,14
41,9,20,2,26.9881,2100,5,7,13
42,3,8,2,27.4313,4300,4,4,6
43,8,14,2,28.6703,4600,3,6,12
44,16,8,2,28.9165,3200,4,10,20
45,17,19,2,29.0487,1400,4,10,20
46,7,12,2,29.9306,1800,4,6,11
47,5,7,2,29.9646,4900,7,5,9
48,16,17,2,30.2831,1100,4,10,20
49,20,6,2,30.6057,3400,6,10,20
50,12,19,2,30.9836,3200,7,8,17
51,5,7,2,32.3159,2300,3,5,9
52,7,15,2,34.0845,3500,4,6,11
53,4,20,2,34.3881,1400,6,4,8
54,19,8,2,34.68,2500,3,10,20
55,4,6,2,35.7859,1500,6,4,8
56,9,15,2,36.5184,1300,7,7,13
57,9,16,2,37.2952,2500,6,7,13
58,10,10,2,37.357,2700,3,7,14
59,11,14,2,37.9693,2900,5,8,15
